id,tweet_text,tweet_date,query_used,filtered_words,join_f_words,num_words_text,num_words_join,diff_in_words
1039193086633668608,"#Fsradiobrasil @benjaminback BENJAAAA, UM QUESTIONAMENTO AO SR. SORMANI ! Ele fala que treinador bom tem que ter cabelo branco e etc.. O MAIOR TÉCNICO DO MUNDO ( PEPE GUARDIOLA), não tem nem cabelo branco e nem cabelo ! O cabeça branca do Sormani está desatualizada #FATO",Mon Sep 10 16:45:13 +0000 2018,#fato,"['fsradiobrasil', 'questionase', 'questionamento', 'senhor', 'pascoal', 'falir', 'treinador', 'bom', 'ter', 'cabelo', 'branco', 'etc', 'maior', 'técnico', 'mundo', 'pepe', 'guardiola', 'cabelo', 'branco', 'cabelo', 'cabeça', 'branca', 'pascoal', 'desatualizado', 'fato']",fsradiobrasil questionase questionamento senhor pascoal falir treinador bom ter cabelo branco etc maior técnico mundo pepe guardiola cabelo branco cabelo cabeça branca pascoal desatualizado fato,46,25,21
1044677924224348160,Por que o Cabo Daciolo soa como um rapper? Entenda no vídeo: https://t.co/FVAuVWDHG2,Tue Sep 25 20:00:00 +0000 2018,jornaloglobo,"['cabo', 'aciono', 'soer', 'rapper', 'entender', 'vídeo']",cabo aciono soer rapper entender vídeo,13,6,7
1049289289966804997,@valoreconomico Inacreditável que tem pessoas wue votem nesse imbecil :(,Mon Oct 08 13:23:56 +0000 2018,:(,"['inacreditável', 'pessoas', 'votar', 'nesse', 'imbecil']",inacreditável pessoas votar nesse imbecil,10,5,5
1046377621460664320,Angela Maria: Veja repercussão da morte da cantora https://t.co/aH2y11obcd #G1 https://t.co/0XzTyVHEGA,Sun Sep 30 12:34:00 +0000 2018,g1,"['angela', 'maria', 'ver', 'repercussão', 'morte', 'cantora']",angela maria ver repercussão morte cantora,11,6,5
1045032762116194304,Anitta rouba a cena com look sexy no Prêmio Multishow de Música Brasileira. https://t.co/MAiFNMVl4V https://t.co/KgaheXGIHt,Wed Sep 26 19:30:00 +0000 2018,jornaloglobo,"['anitta', 'roubar', 'cena', 'look', 'sexy', 'prêmio', 'multishow', 'música', 'brasileira']",anitta roubar cena look sexy prêmio multishow música brasileira,15,9,6
1038936349649367041,Seis candidatos a presidente participam de terceiro debate na TV; veja propostas https://t.co/q9hmTb40ea #G1 https://t.co/MZCY1fK04U,Sun Sep 09 23:45:02 +0000 2018,g1,"['seis', 'candidatos', 'presidente', 'participar', 'terceiro', 'debate', 'televisão', 'ver', 'propostas']",seis candidatos presidente participar terceiro debate televisão ver propostas,15,9,6
1046946647861858305,@parrillamotel eu to mto mal depois de ter visto esse video :( quero q esse merda morra da pior forma possível existente no planeta e q a vida dele tenha a pior das dores porra eu to mto puta,Tue Oct 02 02:15:06 +0000 2018,:(,"['to', 'mal', 'ter', 'vestir', 'video', 'querer', 'merda', 'morrer', 'pior', 'forma', 'possível', 'existente', 'planeta', 'vida', 'pior', 'dores', 'porra', 'to', 'puta']",to mal ter vestir video querer merda morrer pior forma possível existente planeta vida pior dores porra to puta,39,19,20
1049151475505647616,@rayrchx seria mesmoooo :(,Mon Oct 08 04:16:18 +0000 2018,:(,[],,4,0,4
1046753348043636738,@stylouist91 sinto muito ícone :(((,Mon Oct 01 13:27:00 +0000 2018,:(,"['sentir', 'ícone']",sentir ícone,5,2,3
1047471942725509122,@felipenogs vamos tomar um café :),Wed Oct 03 13:02:26 +0000 2018,:),"['ir', 'tomar', 'café']",ir tomar café,6,3,3
1036797021317939200,Aí você vai toda arrumadinha e volta cheia de vinho Kkkk #AlguémTemDuvidasQueDeuBom #EramosAsMaisFelizes #Fato #SeguraElasAeeeee #BrotouFotoDoNada #Adorei #Caretela #NuncaMaisParoDeFalarDisso kkk https://t.co/5DzfnvzbVd,Tue Sep 04 02:04:07 +0000 2018,#fato,"['aí', 'ir', 'toda', 'arrumadinha', 'volta', 'cheia', 'vinho', 'kkk', 'alguémtemduvidasquedeubom', 'eramosasmaisfelizes', 'fato', 'seguraelasaeeeee', 'brotoufotodonada', 'adorar', 'caretela', 'nuncamaisparodefalardisso', 'kkk']",aí ir toda arrumadinha volta cheia vinho kkk alguémtemduvidasquedeubom eramosasmaisfelizes fato seguraelasaeeeee brotoufotodonada adorar caretela nuncamaisparodefalardisso kkk,21,17,4
1049298120889253888,@h2okellyy :((( ontem aconteceu o mesmo com brenda e inclusive o menino que ela conversou sobre isso é da tua turma,Mon Oct 08 13:59:01 +0000 2018,:(,"['ontem', 'acontecer', 'brenda', 'inclusive', 'menino', 'conversar', 'sobre', 'turma']",ontem acontecer brenda inclusive menino conversar sobre turma,21,8,13
1046965907099144194,Precisamos arrumar mais role pra ir :( — bora bora https://t.co/Fn2kHlbNNt,Tue Oct 02 03:31:38 +0000 2018,:(,"['precisar', 'arrumar', 'rolar', 'ir', 'embora', 'embora']",precisar arrumar rolar ir embora embora,11,6,5
1046944869921505280,sdds :(,Tue Oct 02 02:08:02 +0000 2018,:(,['saudades'],saudades,2,1,1
1050745666396463105,"@leo_srodigues Que fogo crlh? Então mas alguém está a mencionar nomes? Não, repito, se lá estivesse nomes e caras, ai sim :)",Fri Oct 12 13:51:03 +0000 2018,:),"['fogo', 'caralho', 'então', 'alguém', 'mencionar', 'nomes', 'repetir', 'lá', 'nomes', 'caras', 'ai', 'sim']",fogo caralho então alguém mencionar nomes repetir lá nomes caras ai sim,22,12,10
1046709487170662401,"Chegou outubro o melhor mês do ano, o meu mês, tbm falta um mês para o Enem :(",Mon Oct 01 10:32:43 +0000 2018,:(,"['chegar', 'outubro', 'melhor', 'mês', 'ano', 'mês', 'falto', 'mês', 'vestibular']",chegar outubro melhor mês ano mês falto mês vestibular,18,9,9
1039940288628908034,"Apple anuncia novas versões do iPhone, Xs e Xs Max https://t.co/qzIVNTnJN3 #G1 https://t.co/sKAhjL1k8U",Wed Sep 12 18:14:20 +0000 2018,g1,"['apple', 'anunciar', 'novas', 'versões', 'iphone', 'vezes', 'vezes', 'max']",apple anunciar novas versões iphone vezes vezes max,13,8,5
1049641187819311104,Trump volta a defender juiz acusado de abuso: ‘foi provado que é inocente’ https://t.co/lgwV3ARa5x,Tue Oct 09 12:42:15 +0000 2018,veja,"['hillary', 'voltar', 'defender', 'juiz', 'acusar', 'abuso', 'provar', 'inocente']",hillary voltar defender juiz acusar abuso provar inocente,14,8,6
1053306766447071234,Novo Malbec Magnetic traz o magnetismo das uvas brancas. Saiba mais em nosso site: https://t.co/xXvWL3RjUi (link na Bio) #novidade #cheiro #perfume #fragrancia #malbec #uvasbrancas #lancamento… https://t.co/TxAPxkhByZ,Fri Oct 19 15:27:57 +0000 2018,#novidade,"['novo', 'perfume', 'magnetic', 'trazer', 'magnetismo', 'uvas', 'brancas', 'saber', 'site', 'link', 'biografia', 'novidade', 'cheiro', 'perfume', 'fragrancia', 'malbec', 'uvasbrancas', 'lancamento']",novo perfume magnetic trazer magnetismo uvas brancas saber site link biografia novidade cheiro perfume fragrancia malbec uvasbrancas lancamento,26,18,8
1044548977990017024,Auxiliar de Serviços Gerais Salário: R$ 1.200 + Benefícios Local: São Paulo Mais informações sobre a vaga: https://t.co/ji0NefNHZT Quer mais vagas? Acesse: https://t.co/DSb9kWVk49 #trabalho #work #oportunidade,Tue Sep 25 11:27:37 +0000 2018,#oportunidade,"['auxiliar', 'serviços', 'gerais', 'salário', 'ar', 'benefícios', 'local', 'paulo', 'informações', 'sobre', 'vaga', 'querer', 'vagas', 'visitar', 'trabalho', 'work', 'oportunidade']",auxiliar serviços gerais salário ar benefícios local paulo informações sobre vaga querer vagas visitar trabalho work oportunidade,26,17,9
1039912264541696000,Pontes localizadas em todo mundo! Vale a pena assistir! #curiosidade #engenharia #engenhariaincrivel #pontes Elegancy Forros https://t.co/fqNtOOmeuH,Wed Sep 12 16:22:59 +0000 2018,#curiosidade,"['pontes', 'localizar', 'todo', 'mundo', 'valer', 'pena', 'assistir', 'curiosidade', 'engenharia', 'engenhariaincrivel', 'pontes', 'elegância', 'forros']",pontes localizar todo mundo valer pena assistir curiosidade engenharia engenhariaincrivel pontes elegância forros,16,13,3
1049167861778993152,a minha maior decepção não é nem pelo ciro e sim pelo suplicy :(((,Mon Oct 08 05:21:25 +0000 2018,:(,"['maior', 'decepção', 'ciro', 'sim', 'suplicy']",maior decepção ciro sim suplicy,14,5,9
1047455379037343744,Amanhã que seja greve novamente :),Wed Oct 03 11:56:37 +0000 2018,:),"['amanhã', 'greve', 'novamente']",amanhã greve novamente,6,3,3
1050164595346821122,Kátia Abreu sugere que Haddad renuncie e Ciro o substitua contra Bolsonaro https://t.co/DRBU0tgv7b,Wed Oct 10 23:22:05 +0000 2018,exame,"['kátia', 'abreu', 'sugerir', 'haddad', 'renunciar', 'ciro', 'substitua', 'contra', 'bolsonaro']",kátia abreu sugerir haddad renunciar ciro substitua contra bolsonaro,13,9,4
1046747772832108545,"Conseguiste concretizar alguns objetivos este ano? — Ainda tô em processo, mas satisfeito e grato com todos os passos que dei esse ano :) https://t.co/9dkKCAj7IW",Mon Oct 01 13:04:51 +0000 2018,:),"['conseguir', 'concretizar', 'alguns', 'objetivos', 'ano', 'ainda', 'processo', 'satisfeito', 'grato', 'todos', 'passos', 'dar', 'ano']",conseguir concretizar alguns objetivos ano ainda processo satisfeito grato todos passos dar ano,25,13,12
1045410136779558914,@ocafebelgrado mandei-lhe uma DM.. :),Thu Sep 27 20:29:34 +0000 2018,:),"['mandeilhe', 'dm']",mandeilhe dm,5,2,3
1032957989832073218,Assistente Administrativo de Vendas Salário: R$ 1.500 + Benefícios Local: Caieiras Mais informações sobre a vaga: https://t.co/TjW6gokkmT Quer mais vagas? Acesse: https://t.co/DSb9kWVk49 #trabalho #work #oportunidade,Fri Aug 24 11:49:10 +0000 2018,#oportunidade,"['assistente', 'administrativo', 'vendas', 'salário', 'ar', 'benefícios', 'local', 'caieiras', 'informações', 'sobre', 'vaga', 'querer', 'vagas', 'visitar', 'trabalho', 'work', 'oportunidade']",assistente administrativo vendas salário ar benefícios local caieiras informações sobre vaga querer vagas visitar trabalho work oportunidade,25,17,8
1037162148332335104,Peixe raro capturado em Fernando de Noronha pode ser de espécie desconhecida até então https://t.co/cPe8VV0hoS #G1 #G1Pernambuco https://t.co/uUhvUjwZx4,Wed Sep 05 02:15:00 +0000 2018,g1,"['peixe', 'raro', 'capturar', 'fernando', 'noronha', 'poder', 'ser', 'espécie', 'desconhecido', 'então']",peixe raro capturar fernando noronha poder ser espécie desconhecido então,18,10,8
1042864072503513089,"Quando você quer mesmo você faz, nada te impede #Fato",Thu Sep 20 19:52:25 +0000 2018,#fato,"['quer', 'fazer', 'nada', 'impedir', 'fato']",quer fazer nada impedir fato,10,5,5
1045419243448209408,"@abreu_martaa ao lado do terceiro já fico o quarto rsrs, na sala é mais confortável :p",Thu Sep 27 21:05:45 +0000 2018,:),"['lado', 'terceiro', 'ficar', 'quarto', 'rsrs', 'sala', 'confortável', 'p']",lado terceiro ficar quarto rsrs sala confortável p,16,8,8
1050580782853644288,"@MarciaPedralino @revistaVIP Deu um pouquinho, né 😆 hahah",Fri Oct 12 02:55:52 +0000 2018,exame,"['dar', 'pouquinho', 'hahah']",dar pouquinho hahah,8,3,5
1046945279331766272,Anjinhos curtindo a noite com a companhia um do outro que lindos :( https://t.co/gw58CSnv3v,Tue Oct 02 02:09:40 +0000 2018,:(,"['anjinhos', 'curtir', 'noite', 'companhia', 'outro', 'lindos']",anjinhos curtir noite companhia outro lindos,14,6,8
1044657788897509377,Compare o que foi detalhado nos programas de governo dos candidatos ao Palácio do Planalto https://t.co/8l5LFvK5zs #Eleições2018,Tue Sep 25 18:40:00 +0000 2018,folha,"['comparar', 'detalhar', 'programas', 'governo', 'candidato', 'palácio', 'planalto']",comparar detalhar programas governo candidato palácio planalto,17,7,10
1049134199465267200,@raissagambarra eu tbm :(,Mon Oct 08 03:07:39 +0000 2018,:(,[],,4,0,4
1039940455264337920,Saiba mais: https://t.co/rWmXCaN8Bg ⠀⠀⠀⠀⠀ #RedeFuturaDeEnsino #Faveni #Empregos #Oportunidade #QuartaDetremuraSDV https://t.co/uqBxIrRbNU,Wed Sep 12 18:15:00 +0000 2018,#oportunidade,"['saber', 'redefuturadeensino', 'faveni', 'empregos', 'oportunidade', 'quartadetremurasdv']",saber redefuturadeensino faveni empregos oportunidade quartadetremurasdv,10,6,4
1050608005929099270,1968: Astronautas da Apolo-7 inauguram caminho para futuras missões à Lua https://t.co/7R29QHEHG1,Fri Oct 12 04:44:02 +0000 2018,folha,"['astronautas', 'apolo', 'inaugurar', 'caminho', 'futuras', 'missões', 'lua']",astronautas apolo inaugurar caminho futuras missões lua,12,7,5
1046822054094233602,&gt;@EstadaoInter Coreias do Sul e do Norte começam a remover minas terrestres de fronteira https://t.co/s21CdeGq93,Mon Oct 01 18:00:01 +0000 2018,estadao,"['tribos', 'sul', 'norte', 'comedir', 'remover', 'minas', 'terrestres', 'fronteira']",tribos sul norte comedir remover minas terrestres fronteira,15,8,7
1049132041374195713,@isaabellacp foram 11 na real :D,Mon Oct 08 02:59:05 +0000 2018,:),"['real', 'd']",real d,6,2,4
1049189931720105984,@viiiny11 Eu não tenho serviço nem pra mim :(,Mon Oct 08 06:49:07 +0000 2018,:(,"['serviço', 'mim']",serviço mim,9,2,7
1046941466239610885,a gnt nao se vê muito :( mas gosto bastante de vc lembranças do niver do Pena mt linda saudades,Tue Oct 02 01:54:31 +0000 2018,:(,"['gente', 'ver', 'gosto', 'bastante', 'lembranças', 'aniversário', 'pena', 'muita', 'linda', 'saudades']",gente ver gosto bastante lembranças aniversário pena muita linda saudades,20,10,10
1049298983343067136,@BTSNewsBrasil @BTS_twt Peach Jelly minha filha mais linda e seus fancams :))),Mon Oct 08 14:02:27 +0000 2018,:),"['pecha', 'jelly', 'filha', 'linda', 'performances']",pecha jelly filha linda performances,12,5,7
1046182837643227136,"'O sexo é fluido e ferramenta de adaptação para o futuro', diz bióloga. https://t.co/TpNOSMi3kL https://t.co/0Nkxda8021",Sat Sep 29 23:40:00 +0000 2018,jornaloglobo,"['sexo', 'fluido', 'ferramenta', 'adaptação', 'futuro', 'dizer', 'bióloga']",sexo fluido ferramenta adaptação futuro dizer bióloga,15,7,8
1043100537690963968,"Sob ecstasy, polvos ficam mais sociáveis e abraçam colegas em estudo https://t.co/X0OcRji8uh",Fri Sep 21 11:32:02 +0000 2018,folha,"['sob', 'ecstasy', 'polvos', 'ficar', 'sociáveis', 'abraçar', 'colegas', 'estudo']",sob ecstasy polvos ficar sociáveis abraçar colegas estudo,12,8,4
1037310050216206336,Reino Unido indicia 2 russos por caso de envenenamento de ex-espião https://t.co/vvqribgf1X,Wed Sep 05 12:02:42 +0000 2018,veja,"['reino', 'unir', 'indiciar', 'russos', 'caso', 'envenenamento', 'exespião']",reino unir indiciar russos caso envenenamento exespião,12,7,5
1045368738088812544,"Dólar caiu :) - R$4,00 às 14:39",Thu Sep 27 17:45:03 +0000 2018,:),"['dólar', 'cair', 'ar']",dólar cair ar,7,3,4
1036696595868397568,"Incêndio de grandes proporções destrói o Museu Nacional, no Rio de Janeiro. Ele é considerado um dos museus mais antigos do Brasil, criado por Dom João VI e tem 200 anos de história. 🎥📺 ••• #DomingoEspetacular #Jornalismo #Matéria #Notícia #RecordTVBelém https://t.co/GPSrJTFsbb",Mon Sep 03 19:25:04 +0000 2018,#noticia,"['incêndio', 'grandes', 'proporções', 'destruir', 'museu', 'nacional', 'rio', 'janeiro', 'considerar', 'museus', 'antigos', 'brasil', 'criar', 'dom', 'joão', 'vir', 'anos', 'história', 'domingoespetacular', 'jornalismo', 'matéria', 'notícia', 'recordtvbelém']",incêndio grandes proporções destruir museu nacional rio janeiro considerar museus antigos brasil criar dom joão vir anos história domingoespetacular jornalismo matéria notícia recordtvbelém,41,23,18
1047189470708023296,Votar em partido pode não ser um bom negócio em eleição para deputados https://t.co/qjQ0RWyFVp https://t.co/0fJweSgUwq,Tue Oct 02 18:20:00 +0000 2018,folha,"['votar', 'partido', 'poder', 'ser', 'bom', 'negócio', 'eleição', 'deputados']",votar partido poder ser bom negócio eleição deputados,15,8,7
1040642582865473538,"Paul Manafort, ex-chefe da campanha de Trump, se declara culpado em duas acusações de Robert Mueller e vai cooperar com investigações https://t.co/gGZXwCllct #G1 https://t.co/1mqPPjsKpC",Fri Sep 14 16:45:00 +0000 2018,g1,"['paul', 'anáfora', 'exchefe', 'campanha', 'hillary', 'declarar', 'culpar', 'duas', 'acusações', 'robert', 'mueller', 'ir', 'cooperar', 'investigações']",paul anáfora exchefe campanha hillary declarar culpar duas acusações robert mueller ir cooperar investigações,24,14,10
1044297918306557952,JORNAL DO CARRO: Veja ‘tecnologias’ arcaicas ainda em uso nos carros https://t.co/PGDaBpbxGB https://t.co/WqFlKieDuK,Mon Sep 24 18:50:00 +0000 2018,estadao,"['jornal', 'carro', 'ver', 'tecnologias', 'arcaicas', 'ainda', 'uso', 'carros']",jornal carro ver tecnologias arcaicas ainda uso carros,13,8,5
1034848411957297152,Veja o que é #FATO ou #FAKE nas entrevistas de Jair Bolsonaro para o Jornal Nacional e para o Jornal das Dez https://t.co/q1n3W1B9WJ,Wed Aug 29 17:01:02 +0000 2018,#fato,"['ver', 'fato', 'fake', 'entrevistas', 'jair', 'bolsonaro', 'jornal', 'nacional', 'jornal', 'dez']",ver fato fake entrevistas jair bolsonaro jornal nacional jornal dez,23,10,13
1044264709392863233,Ministro do STF diz que eleições impedem reanálise da prisão em segunda instância https://t.co/4M734qZpDH,Mon Sep 24 16:38:02 +0000 2018,folha,"['ministro', 'senado', 'dizer', 'eleições', 'impedir', 'revalidar', 'prisão', 'segunda', 'instância']",ministro senado dizer eleições impedir revalidar prisão segunda instância,14,9,5
1046925918478856192,"@juvieir4 suma não, não sei viver sem você :(",Tue Oct 02 00:52:44 +0000 2018,:(,"['suma', 'saber', 'viver']",suma saber viver,9,3,6
1048396212884463616,:) Auxiliem a deixar o blog no ar dando uma clicadinha no banner de propaganda. Isso nos faz com que consigamos deixar o blog ativo. https://t.co/cDqWcQUoWj #umbandayorima,Sat Oct 06 02:15:10 +0000 2018,:),"['auxiliar', 'deixar', 'blog', 'ar', 'dar', 'cocadinha', 'banner', 'propaganda', 'fazer', 'conseguir', 'deixar', 'blog', 'ativo', 'umbandayorima']",auxiliar deixar blog ar dar cocadinha banner propaganda fazer conseguir deixar blog ativo umbandayorima,27,14,13
1033099499743395840,"Acabamentista - São Paulo, SP https://t.co/Nxb8iHW9SS #emprego #oportunidade #vaga",Fri Aug 24 21:11:29 +0000 2018,#oportunidade,"['acabamentos', 'paulo', 'sp', 'emprego', 'oportunidade', 'vaga']",acabamentos paulo sp emprego oportunidade vaga,9,6,3
1047151813487726592,"Na inauguração de Brasília, Charles Aznavour lançou música em homenagem à nova capital https://t.co/6Jxfsc2y4j #G1 https://t.co/ADC4pttCsN",Tue Oct 02 15:50:22 +0000 2018,g1,"['inauguração', 'brasília', 'charles', 'magnificat', 'lançar', 'música', 'homenagem', 'nova', 'capital']",inauguração brasília charles magnificat lançar música homenagem nova capital,16,9,7
1045046863030878208,"Dólar cai para R$ 4,03 com pesquisa eleitoral e decisão do Fed sobre juros nos EUA https://t.co/ZgDStJlcXG",Wed Sep 26 20:26:02 +0000 2018,folha,"['dólar', 'cair', 'ar', 'pesquisa', 'eleitoral', 'decisão', 'feda', 'sobre', 'juros', 'eua']",dólar cair ar pesquisa eleitoral decisão feda sobre juros eua,17,10,7
1047456527727185920,Making Of diferente do noivo a gente também faz :) https://t.co/UR6lLuADeB,Wed Oct 03 12:01:11 +0000 2018,:),"['maringá', 'of', 'diferente', 'noivo', 'gente', 'fazer']",maringá of diferente noivo gente fazer,11,6,5
1037773682217635840,Hospital infantil da Região de Curitiba fecha leitos e cancela cirurgias por falta de médicos https://t.co/JBx6VDEmZc #G1 #G1Parana https://t.co/8RmonJrUdK,Thu Sep 06 18:45:01 +0000 2018,g1,"['hospital', 'infantil', 'região', 'curitiba', 'fechar', 'leitos', 'cancelar', 'cirurgias', 'falta', 'médicos']",hospital infantil região curitiba fechar leitos cancelar cirurgias falta médicos,19,10,9
1049315805089943553,@claudiomurilo3 Affff. É uma frase de Harry Potter. :P,Mon Oct 08 15:09:17 +0000 2018,:),"['aiai', 'frase', 'harry', 'potter', 'p']",aiai frase harry potter p,9,5,4
1033770686697951239,Tive a alegria hoje de poder estar junto aos trabalhadores da Feirinha do Largo da Ordem ouvindo suas necessidades e falando sobre minhas propostas. Política justa se constrói na rua! #coragem #fichalimpa #trabalho #jocunha #renovacao #parana #estadual https://t.co/ScM9mFHb4v,Sun Aug 26 17:38:32 +0000 2018,#trabalho,"['alegria', 'hoje', 'poder', 'estar', 'junto', 'trabalhadores', 'feirinha', 'largo', 'ordem', 'ouvir', 'necessidades', 'falar', 'sobre', 'propostas', 'política', 'justa', 'construir', 'rua', 'coragem', 'fichalimpa', 'trabalho', 'jocunha', 'renovacao', 'parana', 'estadual']",alegria hoje poder estar junto trabalhadores feirinha largo ordem ouvir necessidades falar sobre propostas política justa construir rua coragem fichalimpa trabalho jocunha renovacao parana estadual,38,25,13
1045118838268981250,"Crise humanitária é fabricada para justificar intervenção, afirma Maduro https://t.co/388ghnRFUu",Thu Sep 27 01:12:03 +0000 2018,folha,"['crise', 'humanitária', 'fabricar', 'justificar', 'intervenção', 'afirmar', 'maduro']",crise humanitária fabricar justificar intervenção afirmar maduro,10,7,3
1045513557520117760,@luisaalyra Sou de semio bb... Monitoria pro 3o ano :),Fri Sep 28 03:20:31 +0000 2018,:),"['semeio', 'bebê', 'monitoria', 'pro', 'ano']",semeio bebê monitoria pro ano,10,5,5
